#,Player,Team,GP,GS,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,TR,AST,STL,TO,BLK,BLKA,FC,FD,PIR
76,A. BLAKENEY,HTA,38,2,22:22,13.2,2.3,4.1,55.8%,2.2,5.3,40.6%,2.1,2.5,84.2%,0.5,1.8,2.3,1,0.4,1,0.3,0.5,1.4,1.8,10.6
77,A. BROOKS,EA7,38,13,22:32,13.1,1.9,3.8,51.4%,2.7,6.4,41.6%,1.1,1.3,82.4%,0.7,2.8,3.5,1.4,0.6,0.9,0.3,0.4,2.4,1.3,10.5
78,M. DIOUF,VIR,33,19,18:32,8,3.2,5.3,59.8%,0,0,0%,1.7,2.3,74.7%,1.8,2.4,4.2,1.2,0.5,1.5,0.7,0.3,2.3,2.6,10.5
79,O. BRISSETT,MTA,36,20,24:35,8.7,1.9,3.6,51.9%,0.9,2.8,32%,2.3,2.8,82.4%,1.8,3.3,5.1,0.8,0.9,0.9,0.3,0,2.8,2.5,10.4
80,J. BLOSSOMGAME,ASM,38,30,22:55,9.6,2.9,4.3,66.1%,0.8,2.4,33%,1.5,2.3,64.8%,1.4,2.9,4.2,0.7,0.4,0.7,0.1,0.1,2.1,2.1,10.4
81,M. NDIAYE,ASV,32,10,23:39,7.7,2.7,3.8,69.7%,0.4,2.2,18.1%,1.2,2.1,55.2%,1.7,3.1,4.8,1.2,1.2,1.4,1.4,0.1,2.2,1.5,10.2
82,E. IZUNDU,CZV,32,1,14:16,8,3.2,4.6,71.2%,0,0,0%,1.5,2,76.2%,2.4,1.8,4.2,0.3,0.4,0.6,0.5,0.1,2.6,1.8,10.2
83,M. DIAKITE,KBA,37,14,19:16,8.4,2.5,3.8,66.2%,0.7,2.1,33.8%,1.3,1.6,83.1%,1.4,2.8,4.2,1.1,0.7,1.5,1.2,0.2,2.7,1.8,10.1
84,A. AVRAMOVIC,DUB,22,1,17:01,9.3,1.6,3,53.7%,1.4,4.2,33.7%,1.8,2.3,78.4%,0.6,1.4,2,3,1.3,1.3,0.1,0.2,1.7,2.2,9.9
85,L. VILDOZA,VIR,31,19,21:16,7.6,1.6,2.7,57.6%,1.2,3.3,35%,0.9,1.1,82.9%,0.4,1.8,2.2,4.4,1.4,1.5,0,0.3,2.1,1.7,9.9
86,N. MELLI,FBB,30,21,22:49,6.7,1.2,2.4,51.4%,1.3,3,42.9%,0.3,0.6,47.4%,1.4,4.2,5.7,1.7,0.8,1.3,0.5,0.1,2.8,1.9,9.8
87,B. FERNANDO,"PAR, RMB",37,22,17:19,7.8,3,4.8,63.1%,0,0.1,50%,1.8,2.4,73.9%,1.6,2.7,4.3,0.7,0.5,1.6,0.5,0.1,2.6,2.6,9.8
88,D. BOOKER,EA7,36,23,19:57,8.2,2.5,4.4,57.2%,0.4,1.6,28.6%,1.8,2.4,75.9%,1.5,2.1,3.5,0.9,0.3,0.9,0.1,0.2,1.9,3.1,9.6
89,B. COLSON,FBB,35,14,17:59,7.8,1.3,2.5,50.6%,1.4,2.8,48.5%,1.1,1.2,93%,0.8,2.3,3.1,0.9,0.6,0.5,0.3,0.1,1.2,1.4,9.5
90,J. VESELY,BAR,36,22,21:00,8.7,3.5,5.9,59%,0.3,0.9,30.3%,0.9,1.2,76.2%,1.2,2.1,3.2,1.3,0.9,0.9,0.2,0.1,2.3,1.5,9.3
91,J. PRADILLA,VBC,38,30,20:29,6.8,2.2,3.4,64.8%,0.7,1.9,34.2%,0.5,0.7,76%,1.3,2.8,4.1,2,0.6,1.4,0.1,0.3,1.6,1.4,9.2
92,D. HALL,FBB,30,29,25:07,8.9,2.1,3.7,55.4%,1,3.3,29%,1.8,2.2,83.3%,1.1,1.8,3,2.8,0.5,1.9,0.1,0.2,2.3,2.7,9.2
