Season;Rank;Player;Team;GP;GS;Min;PTS;2PM;2PA;2P%;3PM;3PA;3P%;FTM;FTA;FT%;OR;DR;TR;AST;STL;TO;BLK;BLKA;FC;FD;PIR
2017-18;106;K. RIVERS;PAO;31;4;23:25;8.5;1.3;2.6;50%;1.7;4.8;35.8%;0.7;1.0;65.6%;0.7;2.0;2.7;0.8;1.1;0.7;0.1;0.2;2.0;1.1;6.5
2017-18;107;N. KURBANOV;CSK;36;35;18:38;5.2;1.2;2.3;54.2%;0.5;1.5;33.3%;1.2;1.4;86.3%;0.9;2.3;3.2;1.2;0.7;0.8;0.4;0.2;2.4;1.4;6.4
2017-18;108;M. HUERTAS;BKN;29;11;16:34;5.9;1.3;3.3;40.6%;0.7;1.5;43.2%;1.2;1.3;92.1%;0.2;0.8;1.0;3.6;0.1;1.5;0.0;0.3;1.6;1.9;6.2
2017-18;109;A. MUHAMMED;FBD;21;6;11:19;7.0;0.8;1.6;48.5%;1.7;3.7;46.2%;0.3;0.4;75%;0.2;0.9;1.1;1.2;0.3;0.4;0.0;0.1;1.0;1.0;6.2
2017-18;110;I. PAPAPETROU;OLY;31;12;21:57;6.8;1.9;3.8;50.4%;0.8;2.7;28.6%;0.7;1.1;66.7%;0.9;2.7;3.6;0.7;0.4;0.7;0.3;0.2;2.0;1.4;6.1
2017-18;111;J. THOMPSON;FBD;36;18;16:02;5.0;2.0;3.8;53.3%;0.0;0.0;0%;0.9;1.5;61.8%;1.1;2.8;3.9;0.8;0.1;0.9;0.6;0.1;2.8;1.8;6.1
2017-18;112;O. DOBRIC;CZV;26;1;15:12;6.5;1.3;2.2;58.6%;1.0;3.0;35.1%;0.7;0.9;82.6%;1.0;1.2;2.3;0.4;0.6;0.4;0.2;0.0;1.3;0.9;6.1
2017-18;113;A. CINCIARINI;AXM;24;8;13:38;4.5;1.2;2.4;50.9%;0.4;0.8;47.4%;1.0;1.2;80%;0.5;1.9;2.4;2.1;0.3;0.9;0.0;0.0;1.8;1.2;6.0
2017-18;114;A. TOUPANE;ZAL;34;21;15:17;6.9;1.9;3.4;54.8%;0.4;1.2;37.5%;1.9;2.6;71.1%;0.5;1.6;2.1;0.5;0.4;1.0;0.1;0.3;1.9;2.0;5.8
2017-18;115;B. ROBERTS;OLY;32;22;18:30;6.9;1.1;2.7;40.7%;1.0;2.3;43.2%;1.7;1.8;96.5%;0.2;1.5;1.7;1.4;0.5;1.1;0.0;0.2;2.2;1.8;5.8
2017-18;115;N. PAPPAS;PAO;32;1;17:33;8.2;1.9;3.8;49.2%;0.9;2.7;32.6%;1.8;2.4;77.6%;0.2;0.9;1.1;0.9;0.6;1.2;0.0;0.4;2.0;2.9;5.8
2017-18;117;D. BROWN;EFS;19;6;20:32;7.2;2.3;5.6;40.6%;0.6;1.5;37.9%;0.9;1.1;85%;0.8;1.5;2.3;1.6;0.6;0.8;0.2;0.2;1.9;1.3;5.6
2017-18;118;D. MILOSAVLJEVIC;UNI;27;16;18:28;6.4;1.7;3.6;46.4%;0.7;2.0;33.3%;1.1;1.4;76.9%;0.9;1.7;2.6;1.0;0.5;1.1;0.1;0.2;1.6;1.5;5.6
2017-18;119;J. NAVARRO;FCB;22;7;15:34;6.9;0.8;2.3;36%;1.3;3.8;33.3%;1.5;1.6;88.9%;0.3;0.8;1.1;1.9;0.3;1.0;0.0;0.1;1.2;2.0;5.6
2017-18;120;N. KALINIC;FBD;19;13;17:28;5.5;1.6;2.5;64.6%;0.5;1.8;28.6%;0.6;0.8;80%;0.5;1.1;1.6;1.2;0.5;1.2;0.2;0.0;1.4;1.4;5.4
2017-18;121;V. CLAVER;FCB;24;6;15:59;4.6;1.0;2.0;47.9%;0.8;1.9;42.2%;0.3;0.4;80%;0.8;2.1;2.9;1.2;0.6;0.5;0.2;0.2;2.0;0.8;5.4
2017-18;122;D. BERTANS;AXM;28;4;18:23;7.1;0.7;1.6;43.5%;1.6;3.9;40.9%;0.9;1.0;85.7%;0.3;0.7;1.0;1.4;0.4;0.5;0.1;0.2;2.0;1.4;5.3
